Area Name,Area Type,Year,Month,Date_Numeric,Seasonally Adjusted(Y/N),Status,Labor Force,Employment,Unemployment,Unemployment Rate,Benchmark
Monterey city,Sub-County Place,2010,March,03/2010,N,Final,14400,12600,1800,12.5,2023
Poway city,Sub-County Place,2024,March,03/2024,N,Final,25700,24800,900,3.7,2023
Ferndale city,Sub-County Place,2015,February,02/2015,N,Final,600,500,0,4.2,2023
Orland city,Sub-County Place,2020,March,03/2020,N,Final,3700,3380,330,8.8,2023
Carmel Valley Village CDP,Sub-County Place,2020,February,02/2020,N,Final,2300,2000,300,12.0,2023
Canyondam CDP,Sub-County Place,2014,February,02/2014,N,Final,0,0,0,0.0,2023
Bell Gardens city,Sub-County Place,2016,December,12/2016,N,Final,18000,17100,900,5.2,2023
Willowbrook CDP,Sub-County Place,2013,October,10/2013,N,Final,10000,8700,1300,13.2,2023
Lennox CDP,Sub-County Place,2014,May,05/2014,N,Final,11200,10200,900,8.3,2023
San Bernardino city,Sub-County Place,2017,July,07/2017,N,Final,83900,77900,6000,7.1,2023
Hidden Hills city,Sub-County Place,2023,June,06/2023,N,Final,900,900,0,3.2,2023
Parkwood CDP,Sub-County Place,2023,November,11/2023,N,Final,1200,1000,200,18.4,2023
San Marino city,Sub-County Place,2012,October,10/2012,N,Final,5500,5200,300,5.3,2023
Toro Canyon CDP,Sub-County Place,2019,June,06/2019,N,Final,700,700,0,4.8,2023
Hercules city,Sub-County Place,2012,November,11/2012,N,Final,13300,12600,700,5.5,2023
Pico Rivera city,Sub-County Place,2011,December,12/2011,N,Final,29700,26600,3200,10.6,2023
Wilton CDP,Sub-County Place,2022,December,12/2022,N,Final,2600,2500,100,2.5,2023
Taft city,Sub-County Place,2010,June,06/2010,N,Final,2600,2300,300,10.8,2023
Sand City city,Sub-County Place,2010,November,11/2010,N,Final,200,200,0,5.5,2023
Sierra Madre city,Sub-County Place,2014,April,04/2014,N,Final,6000,5700,300,5.2,2023
Compton city,Sub-County Place,2012,May,05/2012,N,Final,40400,33800,6600,16.4,2023
Monterey city,Sub-County Place,2015,March,03/2015,N,Final,14700,13600,1100,7.8,2023
East Sonora CDP,Sub-County Place,2019,October,10/2019,N,Final,880,880,0,0.0,2023
Kings Beach CDP,Sub-County Place,2022,December,12/2022,N,Final,2000,1900,0,0.9,2023
Valley Acres CDP,Sub-County Place,2010,September,09/2010,N,Final,300,200,100,40.3,2023
Rio del Mar CDP,Sub-County Place,2016,April,04/2016,N,Final,4900,4500,400,8.0,2023
Forestville CDP,Sub-County Place,2020,September,09/2020,N,Final,2000,1900,100,5.3,2023
Butte County,County,1991,February,02/1991,N,Final,81100,72300,8800,10.8,2021
Newark city,Sub-County Place,2024,August,08/2024,N,Final,25600,24300,1300,5.0,2023
Prattville CDP,Sub-County Place,2013,December,12/2013,N,Final,20,10,10,56.3,2023
Redwood City city,Sub-County Place,2011,August,08/2011,N,Final,42800,39700,3100,7.2,2023
Forest Meadows CDP,Sub-County Place,2018,March,03/2018,N,Final,640,590,50,7.9,2023
Patterson city,Sub-County Place,2012,May,05/2012,N,Final,10500,9100,1400,13.1,2023
Santa Maria-Santa Barbara MSA,Metropolitan Area,1996,December,12/1996,N,Final,193300,182200,11100,5.8,2021
Quartz Hill CDP,Sub-County Place,2019,July,07/2019,N,Final,4700,4500,200,3.4,2023
El Cajon city,Sub-County Place,2011,June,06/2011,N,Final,46900,39700,7200,15.3,2023
Stockton-Lodi MSA,Metropolitan Area,2020,November,11/2020,N,Final,335000,301500,33500,10.0,2023
Humboldt County,County,2020,January,01/2020,N,Final,61300,58700,2500,4.2,2023
San Marcos city,Sub-County Place,2023,May,05/2023,N,Final,43100,41700,1300,3.1,2023
Morada CDP,Sub-County Place,2012,August,08/2012,N,Final,1400,1400,0,1.7,2023
Holtville city,Sub-County Place,2013,March,03/2013,N,Final,2600,1900,700,26.5,2023
Banning city,Sub-County Place,2020,September,09/2020,N,Final,11100,9700,1500,13.1,2023
Moss Landing CDP,Sub-County Place,2020,June,06/2020,N,Final,0,0,0,0.0,2023
Del Rey CDP,Sub-County Place,2021,April,04/2021,N,Final,700,600,100,14.2,2023
Half Moon Bay city,Sub-County Place,2010,June,06/2010,N,Final,5800,5500,200,4.2,2023
Dunsmuir city,Sub-County Place,2020,October,10/2020,N,Final,830,760,70,8.2,2023
La Riviera CDP,Sub-County Place,2022,August,08/2022,N,Final,6200,6100,100,2.1,2023
Ladera Heights CDP,Sub-County Place,2016,September,09/2016,N,Final,3100,2900,200,5.0,2023
Santa Maria-Santa Barbara MSA,Metropolitan Area,2018,April,04/2018,N,Final,215100,207000,8100,3.8,2023
Rialto city,Sub-County Place,2011,October,10/2011,N,Final,43300,36700,6500,15.1,2023
Nuevo CDP,Sub-County Place,2014,July,07/2014,N,Final,3100,2900,200,6.6,2023
Los Molinos CDP,Sub-County Place,2022,March,03/2022,N,Final,640,610,30,5.3,2023
Clovis city,Sub-County Place,2013,April,04/2013,N,Final,49300,44000,5300,10.8,2023
Highgrove CDP,Sub-County Place,2021,November,11/2021,N,Final,3600,3400,100,4.0,2023
Benicia city,Sub-County Place,2020,June,06/2020,N,Final,14100,12600,1500,10.9,2023
Chico city,Sub-County Place,2017,February,02/2017,N,Final,47900,45500,2400,5.0,2023
East Los Angeles CDP,Sub-County Place,2012,May,05/2012,N,Final,53300,47600,5700,10.7,2023
Butte County,County,2014,May,05/2014,N,Final,101300,92800,8400,8.3,2023
Lake County,County,2015,April,04/2015,N,Final,29160,26970,2190,7.5,2023
Pittsburg city,Sub-County Place,2016,February,02/2016,N,Final,33400,31600,1800,5.3,2023
Madera MSA,Metropolitan Area,1995,January,01/1995,N,Final,48800,41000,7700,15.9,2021
San Anselmo town,Sub-County Place,2011,March,03/2011,N,Final,7000,6500,500,7.0,2023
Corning city,Sub-County Place,2023,January,01/2023,N,Final,3710,3540,170,4.6,2023
Sacramento city,Sub-County Place,2019,November,11/2019,N,Final,237700,229400,8200,3.5,2023
Bermuda Dunes CDP,Sub-County Place,2022,July,07/2022,N,Final,3300,3100,200,4.6,2023
Ford City CDP,Sub-County Place,2015,June,06/2015,N,Final,2100,1500,500,26.5,2023
Modoc County,County,1993,March,03/1993,N,Final,3860,3140,720,18.7,2021
San Pablo city,Sub-County Place,2016,January,01/2016,N,Final,13500,12800,700,5.1,2023
Walnut Park CDP,Sub-County Place,2015,January,01/2015,N,Final,8100,7400,700,9.0,2023
Westwood CDP,Sub-County Place,2010,September,09/2010,N,Final,580,470,120,19.9,2023
Whittier city,Sub-County Place,2021,April,04/2021,N,Final,42100,37900,4200,10.0,2023
Furnace Creek CDP,Sub-County Place,2021,September,09/2021,N,Final,90,90,0,3.4,2023
Cayucos CDP,Sub-County Place,2022,January,01/2022,N,Final,1000,1000,0,1.8,2023
Chula Vista city,Sub-County Place,2015,August,08/2015,N,Final,120900,112900,8000,6.6,2023
Needles city,Sub-County Place,2016,March,03/2016,N,Final,1500,1300,200,12.2,2023
